 Charge Transfer (eV)  pdsigma (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30
            -0.351724     -0.929310           0.513542           0.529265           0.545276           0.561562           0.578108           0.594895           0.611900           0.629096           0.646448            0.663910            0.681427            0.698923            0.716295            0.733398            0.750020            0.765840            0.780366            0.792861            0.802357            0.807970            0.809520            0.807715            0.803591            0.798005            0.791522            0.784490            0.777123            0.769555            0.761876            0.754144
            -0.306897     -0.937241           0.514497           0.530162           0.546111           0.562334           0.578815           0.595537           0.612478           0.629613           0.646909            0.664324            0.681809            0.699294            0.716690            0.733869            0.750650            0.766762            0.781791            0.795107            0.805828            0.812983            0.816054            0.815428            0.812082            0.806970            0.800767            0.793895            0.786613            0.779084            0.771412            0.763667
            -0.262069     -0.945172           0.515430           0.531036           0.546924           0.563082           0.579498           0.596154           0.613031           0.630103           0.647340            0.664705            0.682151            0.699617            0.717023            0.734256            0.751161            0.767508            0.782948            0.796949            0.808733            0.817331            0.821978            0.822690            0.820278            0.815751            0.809897            0.803229            0.796061            0.788589            0.780937            0.773186
            -0.217241     -0.953103           0.516341           0.531887           0.547713           0.563808           0.580158           0.596748           0.613559           0.630566           0.647743            0.665055            0.682458            0.699897            0.717300            0.734570            0.751570            0.768104            0.783878            0.798445            0.811133            0.821036            0.827250            0.829431            0.828119            0.824307            0.818888            0.812476            0.805455            0.798061            0.790443            0.782698
            -0.172414     -0.961034           0.517229           0.532717           0.548481           0.564512           0.580797           0.597320           0.614063           0.631006           0.648121            0.665376            0.682731            0.700137            0.717528            0.734818            0.751889            0.768571            0.784615            0.799646            0.813094            0.824144            0.831851            0.835584            0.835537            0.832588            0.827706            0.821616            0.814783            0.807493            0.799926            0.792197
            -0.127586     -0.968966           0.518097           0.533525           0.549228           0.565195           0.581413           0.597870           0.614546           0.631422           0.648473            0.665669            0.682974            0.700341            0.717711            0.735009            0.752129            0.768926            0.785188            0.800598            0.814676            0.826712            0.835793            0.841098            0.842460            0.840537            0.836315            0.830625            0.824029            0.816874            0.809379            0.801680
            -0.082759     -0.976897           0.518944           0.534313           0.549954           0.565857           0.582010           0.598398           0.615007           0.631816           0.648802            0.665937            0.683188            0.700511            0.717854            0.735147            0.752300            0.769184            0.785620            0.801338            0.815935            0.828804            0.839109            0.845943            0.848820            0.848089            0.844666            0.839473            0.833173            0.826193            0.818794            0.811141
            -0.037931     -0.984828           0.519771           0.535082           0.550661           0.566499           0.582586           0.598907           0.615448           0.632189           0.649109            0.666182            0.683375            0.700650            0.717959            0.735239            0.752410            0.769359            0.785931            0.801898            0.816921            0.830486            0.841853            0.850116            0.854557            0.855172            0.852706            0.848123            0.842194            0.835433            0.828160            0.820574
             0.006897     -0.992759           0.520579           0.535831           0.551348           0.567123           0.583143           0.599397           0.615869           0.632542           0.649395            0.666403            0.683538            0.700761            0.718031            0.735290            0.752465            0.769459            0.786137            0.802305            0.817675            0.831816            0.844089            0.853643            0.859631            0.861715            0.860371            0.856531            0.851063            0.844578            0.837466            0.829969
             0.051724     -1.000690           0.521368           0.536561           0.552017           0.567727           0.583682           0.599868           0.616272           0.632876           0.649661            0.666604            0.683677            0.700846            0.718072            0.735302            0.752472            0.769495            0.786253            0.802580            0.818232            0.832847            0.845882            0.856570            0.864030            0.867656            0.867593            0.864647            0.859745            0.853605            0.846698            0.839318
             0.096552     -1.008621           0.522138           0.537273           0.552668           0.568314           0.584203           0.600321           0.616656           0.633191           0.649908            0.666785            0.683795            0.700907            0.718085            0.735281            0.752436            0.769473            0.786290            0.802742            0.818622            0.833626            0.847293            0.858958            0.867766            0.872944            0.874299            0.872408            0.868199            0.862488            0.855839            0.848610
             0.141379     -1.016552           0.522891           0.537967           0.553301           0.568884           0.584706           0.600757           0.617023           0.633489           0.650137            0.666946            0.683892            0.700945            0.718072            0.735228            0.752360            0.769401            0.786258            0.802806            0.818870            0.834190            0.848381            0.860870            0.870878            0.877557            0.880422            0.879749            0.876377            0.871195            0.864869            0.857832
             0.186207     -1.024483           0.523627           0.538644           0.553917           0.569436           0.585193           0.601177           0.617374           0.633771           0.650349            0.667090            0.683970            0.700963            0.718034            0.735147            0.752250            0.769283            0.786165            0.802787            0.818996            0.834573            0.849193            0.862373            0.873422            0.881496            0.885907            0.886597            0.884219            0.879686            0.873760            0.866966
             0.231034     -1.032414           0.524345           0.539305           0.554516           0.569973           0.585664           0.601580           0.617709           0.634036           0.650545            0.667217            0.684031            0.700960            0.717975            0.735039            0.752108            0.769126            0.786019            0.802694            0.819017            0.834801            0.849774            0.863526            0.875462            0.884793            0.890721            0.892883            0.891662            0.887913            0.882484            0.875993
             0.275862     -1.040345           0.525047           0.539949           0.555100           0.570493           0.586119           0.601968           0.618028           0.634285           0.650725            0.667328            0.684074            0.700939            0.717896            0.734909            0.751938            0.768932            0.785826            0.802536            0.818947            0.834898            0.850157            0.864381            0.877063            0.887496            0.894856            0.898547            0.898633            0.895823            0.891002            0.884888
             0.320690     -1.048276           0.525733           0.540577           0.555668           0.570998           0.586559           0.602341           0.618332           0.634520           0.650890            0.667423            0.684102            0.700902            0.717797            0.734756            0.751741            0.768706            0.785591            0.802323            0.818799            0.834882            0.850374            0.864986            0.878289            0.889668            0.898333            0.903547            0.905063            0.903351            0.899270            0.893623
             0.365517     -1.056207           0.526404           0.541190           0.556221           0.571488           0.586984           0.602700           0.618623           0.634741           0.651040            0.667504            0.684114            0.700848            0.717681            0.734584            0.751521            0.768451            0.785319            0.802060            0.818583            0.834769            0.850449            0.865378            0.879196            0.891374            0.901196            0.907867            0.910887            0.910428            0.907234            0.902161
             0.410345     -1.064138           0.527060           0.541788           0.556759           0.571964           0.587396           0.603044           0.618899           0.634948           0.651178            0.667572            0.684112            0.700779            0.717548            0.734393            0.751279            0.768169            0.785014            0.801753            0.818308            0.834573            0.850403            0.865591            0.879832            0.892680            0.903502            0.911518            0.916058            0.916983            0.914834            0.910460
             0.455172     -1.072069           0.527700           0.542372           0.557283           0.572426           0.587793           0.603375           0.619162           0.635142           0.651302            0.667626            0.684097            0.700696            0.717401            0.734185            0.751018            0.767864            0.784679            0.801407            0.817980            0.834304            0.850253            0.865651            0.880240            0.893643            0.905317            0.914537            0.920550            0.922950            0.922001            0.918468
             0.500000     -1.080000           0.528326           0.542941           0.557793           0.572874           0.588177           0.603694           0.619413           0.635324           0.651413            0.667667            0.684069            0.700600            0.717239            0.733961            0.750738            0.767537            0.784317            0.801027            0.817606            0.833972            0.850014            0.865581            0.880454            0.894318            0.906707            0.916977            0.924367            0.928275            0.928664            0.926126
