 10Dq (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30  Eigenvalues Row 31  Eigenvalues Row 32  Eigenvalues Row 33  Eigenvalues Row 34  Eigenvalues Row 35  Eigenvalues Row 36  Eigenvalues Row 37  Eigenvalues Row 38  Eigenvalues Row 39  Eigenvalues Row 40  Eigenvalues Row 41  Eigenvalues Row 42  Eigenvalues Row 43  Eigenvalues Row 44  Eigenvalues Row 45
   0.43750                0.0       2.220446e-16       4.440892e-16       4.375000e-01       4.375000e-01       4.375000e-01       4.375000e-01       4.375000e-01       4.375000e-01        4.375000e-01        4.375000e-01        4.375000e-01        7.574330e-01        7.574330e-01        7.574330e-01        7.574330e-01        7.574330e-01        7.574330e-01        7.574330e-01        7.574330e-01        7.574330e-01            1.201920            1.201920            1.591249            1.591249            1.591249            1.806059            1.806059            1.806059            1.806059            1.806059            1.806059            1.806059            1.806059            1.806059            1.895653            2.053370            2.053370            2.053370            2.321023            2.321023            2.369194            2.369194            2.369194            4.582771
   0.48125                0.0       4.440892e-16       6.661338e-16       4.812500e-01       4.812500e-01       4.812500e-01       4.812500e-01       4.812500e-01       4.812500e-01        4.812500e-01        4.812500e-01        4.812500e-01        8.291687e-01        8.291687e-01        8.291687e-01        8.291687e-01        8.291687e-01        8.291687e-01        8.291687e-01        8.291687e-01        8.291687e-01            1.207775            1.207775            1.641900            1.641900            1.641900            1.865573            1.865573            1.865573            1.865573            1.865573            1.865573            1.865573            1.865573            1.865573            1.916910            2.097120            2.097120            2.097120            2.402668            2.402668            2.449793            2.449793            2.449793            4.649014
   0.52500                0.0       4.440892e-16       1.110223e-15       5.250000e-01       5.250000e-01       5.250000e-01       5.250000e-01       5.250000e-01       5.250000e-01        5.250000e-01        5.250000e-01        5.250000e-01        9.000435e-01        9.000435e-01        9.000435e-01        9.000435e-01        9.000435e-01        9.000435e-01        9.000435e-01        9.000435e-01        9.000435e-01            1.212879            1.212879            1.691944            1.691944            1.691944            1.925948            1.925948            1.925948            1.925948            1.925948            1.925948            1.925948            1.925948            1.925948            1.937153            2.140870            2.140870            2.140870            2.485064            2.485064            2.530999            2.530999            2.530999            4.716271
   0.56875                0.0       4.440892e-16       6.661338e-16       5.687500e-01       5.687500e-01       5.687500e-01       5.687500e-01       5.687500e-01       5.687500e-01        5.687500e-01        5.687500e-01        5.687500e-01        9.700309e-01        9.700309e-01        9.700309e-01        9.700309e-01        9.700309e-01        9.700309e-01        9.700309e-01        9.700309e-01        9.700309e-01            1.217359            1.217359            1.741447            1.741447            1.741447            1.956433            1.987211            1.987211            1.987211            1.987211            1.987211            1.987211            1.987211            1.987211            1.987211            2.184620            2.184620            2.184620            2.568084            2.568084            2.612746            2.612746            2.612746            4.784491
   0.61250                0.0       6.661338e-16       8.881784e-16       6.125000e-01       6.125000e-01       6.125000e-01       6.125000e-01       6.125000e-01       6.125000e-01        6.125000e-01        6.125000e-01        6.125000e-01        1.039108e+00        1.039108e+00        1.039108e+00        1.039108e+00        1.039108e+00        1.039108e+00        1.039108e+00        1.039108e+00        1.039108e+00            1.221319            1.221319            1.790466            1.790466            1.790466            1.974799            2.049384            2.049384            2.049384            2.049384            2.049384            2.049384            2.049384            2.049384            2.049384            2.228370            2.228370            2.228370            2.651624            2.651624            2.694977            2.694977            2.694977            4.853625
   0.65625                0.0       4.440892e-16       1.110223e-15       6.562500e-01       6.562500e-01       6.562500e-01       6.562500e-01       6.562500e-01       6.562500e-01        6.562500e-01        6.562500e-01        6.562500e-01        1.107256e+00        1.107256e+00        1.107256e+00        1.107256e+00        1.107256e+00        1.107256e+00        1.107256e+00        1.107256e+00        1.107256e+00            1.224841            1.224841            1.839054            1.839054            1.839054            1.992298            2.112486            2.112486            2.112486            2.112486            2.112486            2.112486            2.112486            2.112486            2.112486            2.272120            2.272120            2.272120            2.735602            2.735602            2.777640            2.777640            2.777640            4.923626
   0.70000                0.0       0.000000e+00       8.881784e-16       7.000000e-01       7.000000e-01       7.000000e-01       7.000000e-01       7.000000e-01       7.000000e-01        7.000000e-01        7.000000e-01        7.000000e-01        1.174460e+00        1.174460e+00        1.174460e+00        1.174460e+00        1.174460e+00        1.174460e+00        1.174460e+00        1.174460e+00        1.174460e+00            1.227992            1.227992            1.887254            1.887254            1.887254            2.008977            2.176532            2.176532            2.176532            2.176532            2.176532            2.176532            2.176532            2.176532            2.176532            2.315870            2.315870            2.315870            2.819952            2.819952            2.860689            2.860689            2.860689            4.994447
   0.74375                0.0       4.440892e-16       1.110223e-15       7.437500e-01       7.437500e-01       7.437500e-01       7.437500e-01       7.437500e-01       7.437500e-01        7.437500e-01        7.437500e-01        7.437500e-01        1.230824e+00        1.230824e+00        1.240712e+00        1.240712e+00        1.240712e+00        1.240712e+00        1.240712e+00        1.240712e+00        1.240712e+00            1.240712            1.240712            1.935107            1.935107            1.935107            2.024879            2.241529            2.241529            2.241529            2.241529            2.241529            2.241529            2.241529            2.241529            2.241529            2.359620            2.359620            2.359620            2.904619            2.904619            2.944086            2.944086            2.944086            5.066046
   0.78750                0.0       2.220446e-16       8.881784e-16       7.875000e-01       7.875000e-01       7.875000e-01       7.875000e-01       7.875000e-01       7.875000e-01        7.875000e-01        7.875000e-01        7.875000e-01        1.233384e+00        1.233384e+00        1.306009e+00        1.306009e+00        1.306009e+00        1.306009e+00        1.306009e+00        1.306009e+00        1.306009e+00            1.306009            1.306009            1.982649            1.982649            1.982649            2.040045            2.307483            2.307483            2.307483            2.307483            2.307483            2.307483            2.307483            2.307483            2.307483            2.403370            2.403370            2.403370            2.989559            2.989559            3.027794            3.027794            3.027794            5.138379
   0.83125                0.0       1.554312e-15       4.662937e-15       8.312500e-01       8.312500e-01       8.312500e-01       8.312500e-01       8.312500e-01       8.312500e-01        8.312500e-01        8.312500e-01        8.312500e-01        1.235707e+00        1.235707e+00        1.370352e+00        1.370352e+00        1.370352e+00        1.370352e+00        1.370352e+00        1.370352e+00        1.370352e+00            1.370352            1.370352            2.029911            2.029911            2.029911            2.054516            2.374390            2.374390            2.374390            2.374390            2.374390            2.374390            2.374390            2.374390            2.374390            2.447120            2.447120            2.447120            3.074736            3.074736            3.111782            3.111782            3.111782            5.211408
   0.87500                0.0       4.440892e-16       1.554312e-15       8.750000e-01       8.750000e-01       8.750000e-01       8.750000e-01       8.750000e-01       8.750000e-01        8.750000e-01        8.750000e-01        8.750000e-01        1.237824e+00        1.237824e+00        1.433748e+00        1.433748e+00        1.433748e+00        1.433748e+00        1.433748e+00        1.433748e+00        1.433748e+00            1.433748            1.433748            2.068330            2.076920            2.076920            2.076920            2.442244            2.442244            2.442244            2.442244            2.442244            2.442244            2.442244            2.442244            2.442244            2.490870            2.490870            2.490870            3.160119            3.160119            3.196023            3.196023            3.196023            5.285094
   0.91875                0.0       2.886580e-15       6.661338e-15       9.187500e-01       9.187500e-01       9.187500e-01       9.187500e-01       9.187500e-01       9.187500e-01        9.187500e-01        9.187500e-01        9.187500e-01        1.239761e+00        1.239761e+00        1.496210e+00        1.496210e+00        1.496210e+00        1.496210e+00        1.496210e+00        1.496210e+00        1.496210e+00            1.496210            1.496210            2.081523            2.123701            2.123701            2.123701            2.511032            2.511032            2.511032            2.511032            2.511032            2.511032            2.511032            2.511032            2.511032            2.534620            2.534620            2.534620            3.245682            3.245682            3.280492            3.280492            3.280492            5.359401
   0.96250                0.0       3.996803e-15       7.771561e-15       9.625000e-01       9.625000e-01       9.625000e-01       9.625000e-01       9.625000e-01       9.625000e-01        9.625000e-01        9.625000e-01        9.625000e-01        1.241540e+00        1.241540e+00        1.557755e+00        1.557755e+00        1.557755e+00        1.557755e+00        1.557755e+00        1.557755e+00        1.557755e+00            1.557755            1.557755            2.094129            2.170275            2.170275            2.170275            2.578370            2.578370            2.578370            2.580737            2.580737            2.580737            2.580737            2.580737            2.580737            2.580737            2.580737            2.580737            3.331403            3.331403            3.365168            3.365168            3.365168            5.434295
   1.00625                0.0       6.661338e-16       7.993606e-15       1.006250e+00       1.006250e+00       1.006250e+00       1.006250e+00       1.006250e+00       1.006250e+00        1.006250e+00        1.006250e+00        1.006250e+00        1.243178e+00        1.243178e+00        1.618405e+00        1.618405e+00        1.618405e+00        1.618405e+00        1.618405e+00        1.618405e+00        1.618405e+00            1.618405            1.618405            2.106180            2.216662            2.216662            2.216662            2.622120            2.622120            2.622120            2.651337            2.651337            2.651337            2.651337            2.651337            2.651337            2.651337            2.651337            2.651337            3.417265            3.417265            3.450031            3.450031            3.450031            5.509745
   1.05000                0.0       1.776357e-15       7.105427e-15       1.050000e+00       1.050000e+00       1.050000e+00       1.050000e+00       1.050000e+00       1.050000e+00        1.050000e+00        1.050000e+00        1.050000e+00        1.244691e+00        1.244691e+00        1.678186e+00        1.678186e+00        1.678186e+00        1.678186e+00        1.678186e+00        1.678186e+00        1.678186e+00            1.678186            1.678186            2.117706            2.262879            2.262879            2.262879            2.665870            2.665870            2.665870            2.722806            2.722806            2.722806            2.722806            2.722806            2.722806            2.722806            2.722806            2.722806            3.503252            3.503252            3.535064            3.535064            3.535064            5.585718
