 delta (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30  Eigenvalues Row 31  Eigenvalues Row 32  Eigenvalues Row 33  Eigenvalues Row 34  Eigenvalues Row 35  Eigenvalues Row 36  Eigenvalues Row 37  Eigenvalues Row 38  Eigenvalues Row 39  Eigenvalues Row 40  Eigenvalues Row 41  Eigenvalues Row 42  Eigenvalues Row 43  Eigenvalues Row 44  Eigenvalues Row 45
  -0.067347                0.0       8.881784e-16       4.917527e-04           0.962882           0.962882           0.985416           1.038173           1.038173           1.076700            1.076700            1.112107            1.119155            1.260433            1.260433            1.565217            1.607283            1.607283            1.701888            1.718902            1.772653            1.772653            1.818489            1.818489            2.144201            2.193167            2.255828            2.255828            2.616280            2.638516            2.638516            2.651870            2.723323            2.723323            2.794992            2.794992            2.822587            2.823365            2.825993            2.825993            3.420097            3.420097            3.604765            3.604765            3.670492            5.630468
  -0.070408                0.0       4.440892e-16       5.139762e-04           0.960588           0.960588           0.982683           1.038199           1.038199           1.076466            1.076466            1.112712            1.119651            1.260414            1.260414            1.562923            1.604002            1.604002            1.704440            1.719694            1.774988            1.774988            1.821566            1.821566            2.143620            2.190821            2.255284            2.255284            2.613362            2.633840            2.633840            2.647090            2.725793            2.725793            2.797629            2.797629            2.825258            2.826018            2.829296            2.829296            3.414527            3.414527            3.607742            3.607742            3.675025            5.632001
  -0.073469                0.0       8.881784e-16       5.362060e-04           0.958250           0.958250           0.979933           1.038204           1.038204           1.076213            1.076213            1.113262            1.120113            1.260389            1.260389            1.560528            1.600676            1.600676            1.707035            1.720626            1.777392            1.777392            1.824685            1.824685            2.142989            2.188509            2.254673            2.254673            2.610441            2.629149            2.629149            2.642314            2.728310            2.728310            2.800285            2.800285            2.827943            2.828685            2.832624            2.832624            3.408965            3.408965            3.610725            3.610725            3.679501            5.633607
  -0.076531                0.0       4.440892e-16       5.584440e-04           0.955871           0.955871           0.977165           1.038187           1.038187           1.075941            1.075941            1.113760            1.120542            1.260358            1.260358            1.558035            1.597310            1.597310            1.709671            1.721693            1.779863            1.779863            1.827847            1.827847            2.142305            2.186236            2.253997            2.253997            2.607515            2.624447            2.624447            2.637541            2.730872            2.730872            2.802959            2.802959            2.830641            2.831364            2.835976            2.835976            3.403410            3.403410            3.613713            3.613713            3.683919            5.635286
  -0.079592                0.0       0.000000e+00       5.806925e-04           0.953456           0.953456           0.974383           1.038148           1.038148           1.075647            1.075647            1.114204            1.120935            1.260321            1.260321            1.555450            1.593908            1.593908            1.712348            1.722890            1.782400            1.782400            1.831049            1.831049            2.141564            2.184008            2.253257            2.253257            2.604587            2.619736            2.619736            2.632772            2.733475            2.733475            2.805650            2.805650            2.833354            2.834055            2.839353            2.839353            3.397864            3.397864            3.616706            3.616706            3.688281            5.637039
  -0.082653                0.0       8.881784e-16       6.029535e-04           0.951005           0.951005           0.971586           1.038086           1.038086           1.075331            1.075331            1.114595            1.121293            1.260276            1.260276            1.552777            1.590471            1.590471            1.715067            1.724211            1.784999            1.784999            1.834289            1.834289            2.140760            2.181828            2.252455            2.252455            2.601655            2.615019            2.615019            2.628008            2.736116            2.736116            2.808356            2.808356            2.836080            2.836758            2.842754            2.842754            3.392327            3.392327            3.619703            3.619703            3.692584            5.638865
  -0.085714                0.0       4.440892e-16       6.252292e-04           0.948523           0.948523           0.968777           1.038001           1.038001           1.074992            1.074992            1.114935            1.121614            1.260225            1.260225            1.550021            1.587003            1.587003            1.717826            1.725652            1.787658            1.787658            1.837568            1.837568            2.139889            2.179703            2.251593            2.251593            2.598721            2.610296            2.610296            2.623248            2.738793            2.738793            2.811079            2.811079            2.838819            2.839474            2.846178            2.846178            3.386802            3.386802            3.622704            3.622704            3.696828            5.640766
  -0.088776                0.0       8.881784e-16       6.475216e-04           0.946012           0.946012           0.965955           1.037891           1.037891           1.074628            1.074628            1.115222            1.121898            1.260166            1.260166            1.547186            1.583506            1.583506            1.720625            1.727207            1.790376            1.790376            1.840882            1.840882            2.138944            2.177638            2.250671            2.250671            2.595784            2.605570            2.605570            2.618493            2.741502            2.741502            2.813815            2.813815            2.841570            2.842201            2.849626            2.849626            3.381289            3.381289            3.625709            3.625709            3.701014            5.642741
  -0.091837                0.0       4.440892e-16       6.698328e-04           0.943473           0.943473           0.963123           1.037757           1.037757           1.074240            1.074240            1.115459            1.122144            1.260099            1.260099            1.544276            1.579984            1.579984            1.723463            1.728872            1.793150            1.793150            1.844232            1.844232            2.137921            2.175638            2.249691            2.249691            2.592845            2.600840            2.600840            2.613742            2.744243            2.744243            2.816566            2.816566            2.844335            2.844939            2.853096            2.853096            3.375788            3.375788            3.628717            3.628717            3.705140            5.644790
  -0.094898                0.0       4.440892e-16       6.921649e-04           0.940908           0.940908           0.960280           1.037597           1.037597           1.073827            1.073827            1.115645            1.122352            1.260023            1.260023            1.541297            1.576437            1.576437            1.726341            1.730641            1.795978            1.795978            1.847617            1.847617            2.136814            2.173710            2.248656            2.248656            2.589904            2.596109            2.596109            2.608996            2.747012            2.747012            2.819330            2.819330            2.847111            2.847689            2.856588            2.856588            3.370301            3.370301            3.631728            3.631728            3.709207            5.646915
  -0.097959                0.0       1.776357e-15       7.145201e-04           0.938321           0.938321           0.957428           1.037412           1.037412           1.073387            1.073387            1.115780            1.122522            1.259939            1.259939            1.538252            1.572869            1.572869            1.729257            1.732510            1.798859            1.798859            1.851036            1.851036            2.135619            2.171858            2.247565            2.247565            2.586962            2.591377            2.591377            2.604255            2.749807            2.749807            2.822107            2.822107            2.849900            2.850451            2.860103            2.860103            3.364828            3.364828            3.634743            3.634743            3.713213            5.649115
  -0.101020                0.0       8.881784e-16       7.369004e-04           0.935711           0.935711           0.954567           1.037202           1.037202           1.072922            1.072922            1.115867            1.122654            1.259847            1.259847            1.535144            1.569280            1.569280            1.732212            1.734473            1.801791            1.801791            1.854487            1.854487            2.134332            2.170086            2.246421            2.246421            2.584018            2.586645            2.586645            2.599519            2.752627            2.752627            2.824897            2.824897            2.852700            2.853223            2.863638            2.863638            3.359371            3.359371            3.637760            3.637760            3.717158            5.651390
  -0.104082                0.0       4.440892e-16       7.593078e-04           0.933081           0.933081           0.951698           1.036965           1.036965           1.072430            1.072430            1.115905            1.122747            1.259745            1.259745            1.531979            1.565673            1.565673            1.735204            1.736528            1.804772            1.804772            1.857971            1.857971            2.132950            2.168397            2.245225            2.245225            2.581072            2.581913            2.581913            2.594788            2.755469            2.755469            2.827699            2.827699            2.855512            2.856006            2.867195            2.867195            3.353930            3.353930            3.640780            3.640780            3.721043            5.653741
  -0.107143                0.0       8.881784e-16       7.817446e-04           0.930431           0.930431           0.948822           1.036702           1.036702           1.071912            1.071912            1.115894            1.122802            1.259633            1.259633            1.528759            1.562049            1.562049            1.738234            1.738669            1.807800            1.807800            1.861485            1.861485            2.131471            2.166794            2.243978            2.243978            2.577182            2.577182            2.578125            2.590062            2.758332            2.758332            2.830513            2.830513            2.858335            2.858800            2.870772            2.870772            3.348507            3.348507            3.643802            3.643802            3.724866            5.656168
  -0.110204                0.0       4.440892e-16       8.042127e-04           0.927764           0.927764           0.945939           1.036412           1.036412           1.071368            1.071368            1.115836            1.122818            1.259512            1.259512            1.525488            1.558410            1.558410            1.740893            1.741300            1.810876            1.810876            1.865031            1.865031            2.129895            2.165276            2.242682            2.242682            2.572452            2.572452            2.575177            2.585341            2.761213            2.761213            2.833338            2.833338            2.861169            2.861604            2.874369            2.874369            3.343103            3.343103            3.646827            3.646827            3.728627            5.658670
  -0.113265                0.0       8.881784e-16       8.267142e-04           0.925081           0.925081           0.943049           1.036096           1.036096           1.070797            1.070797            1.115730            1.122796            1.259381            1.259381            1.522168            1.554758            1.554758            1.743195            1.744403            1.813996            1.813996            1.868606            1.868606            2.128223            2.163844            2.241337            2.241337            2.567724            2.567724            2.572229            2.580626            2.764111            2.764111            2.836174            2.836174            2.864015            2.864419            2.877985            2.877985            3.337718            3.337718            3.649854            3.649854            3.732327            5.661249
  -0.116327                0.0       8.881784e-16       8.492513e-04           0.922382           0.922382           0.940152           1.035753           1.035753           1.070199            1.070199            1.115578            1.122736            1.259239            1.259239            1.518803            1.551092            1.551092            1.745573            1.747541            1.817160            1.817160            1.872211            1.872211            2.126458            2.162495            2.239947            2.239947            2.562998            2.562998            2.569279            2.575916            2.767023            2.767023            2.839022            2.839022            2.866871            2.867245            2.881619            2.881619            3.332354            3.332354            3.652884            3.652884            3.735964            5.663905
  -0.119388                0.0       4.440892e-16       8.718259e-04           0.919668           0.919668           0.937251           1.035384           1.035384           1.069574            1.069574            1.115381            1.122637            1.259087            1.259087            1.515396            1.547416            1.547416            1.748022            1.750714            1.820366            1.820366            1.875845            1.875845            2.124602            2.161225            2.238510            2.238510            2.558275            2.558275            2.566329            2.571212            2.769949            2.769949            2.841879            2.841879            2.869738            2.870081            2.885271            2.885271            3.327013            3.327013            3.655915            3.655915            3.739539            5.666637
  -0.122449                0.0       8.881784e-16       8.944403e-04           0.916941           0.916941           0.934344           1.034988           1.034988           1.068923            1.068923            1.115138            1.122501            1.258923            1.258923            1.511948            1.543729            1.543729            1.750540            1.753922            1.823614            1.823614            1.879507            1.879507            2.122661            2.160031            2.237030            2.237030            2.553554            2.553554            2.563378            2.566513            2.772885            2.772885            2.844748            2.844748            2.872616            2.872927            2.888940            2.888940            3.321695            3.321695            3.658949            3.658949            3.743050            5.669445
  -0.125510                0.0       4.440892e-16       9.170965e-04           0.914201           0.914201           0.931431           1.034565           1.034565           1.068246            1.068246            1.114850            1.122327            1.258748            1.258748            1.508463            1.540034            1.540034            1.753123            1.757163            1.826902            1.826902            1.883196            1.883196            2.120640            2.158908            2.235507            2.235507            2.548837            2.548837            2.560426            2.561820            2.775831            2.775831            2.847626            2.847626            2.875504            2.875783            2.892624            2.892624            3.316402            3.316402            3.661984            3.661984            3.746499            5.672330
  -0.128571                0.0       4.440892e-16       9.397966e-04           0.911449           0.911449           0.928515           1.034116           1.034116           1.067542            1.067542            1.114519            1.122116            1.258562            1.258562            1.504942            1.536331            1.536331            1.755768            1.760439            1.830229            1.830229            1.886913            1.886913            2.118544            2.157849            2.233941            2.233941            2.544122            2.544122            2.557133            2.557474            2.778785            2.778785            2.850515            2.850515            2.878403            2.878649            2.896324            2.896324            3.311136            3.311136            3.665022            3.665022            3.749885            5.675292
  -0.131633                0.0       8.881784e-16       9.625427e-04           0.908686           0.908686           0.925593           1.033639           1.033639           1.066813            1.066813            1.114144            1.121868            1.258363            1.258363            1.501388            1.532620            1.532620            1.758473            1.763747            1.833594            1.833594            1.890655            1.890655            2.116380            2.156850            2.232336            2.232336            2.539411            2.539411            2.552451            2.554522            2.781745            2.781745            2.853413            2.853413            2.881311            2.881525            2.900037            2.900037            3.305898            3.305898            3.668061            3.668061            3.753207            5.678331
  -0.134694                0.0       1.332268e-15       9.853368e-04           0.905912           0.905912           0.922668           1.033137           1.033137           1.066057            1.066057            1.113726            1.121583            1.258153            1.258153            1.497803            1.528904            1.528904            1.761235            1.767087            1.836997            1.836997            1.894424            1.894424            2.114153            2.155905            2.230691            2.230691            2.534704            2.534704            2.547775            2.551570            2.784709            2.784709            2.856321            2.856321            2.884230            2.884411            2.903762            2.903762            3.300690            3.300690            3.671102            3.671102            3.756466            5.681447
  -0.137755                0.0       1.776357e-15       1.008181e-03           0.903128           0.903128           0.919739           1.032608           1.032608           1.065276            1.065276            1.113266            1.121262            1.257929            1.257929            1.494188            1.525184            1.525184            1.764051            1.770459            1.840435            1.840435            1.898219            1.898219            2.111869            2.155008            2.229007            2.229007            2.530000            2.530000            2.543105            2.548618            2.787675            2.787675            2.859238            2.859238            2.887159            2.887306            2.907498            2.907498            3.295515            3.295515            3.674145            3.674145            3.759660            5.684640
  -0.140816                0.0       4.440892e-16       1.031078e-03           0.900335           0.900335           0.916806           1.032052           1.032052           1.064470            1.064470            1.112765            1.120904            1.257693            1.257693            1.490545            1.521459            1.521459            1.766919            1.773862            1.843908            1.843908            1.902038            1.902038            2.109533            2.154155            2.227286            2.227286            2.525301            2.525301            2.538441            2.545666            2.790643            2.790643            2.862165            2.862165            2.890098            2.890211            2.911244            2.911244            3.290373            3.290373            3.677190            3.677190            3.762791            5.687910
  -0.143878                0.0       8.881784e-16       1.054029e-03           0.897532           0.897532           0.913870           1.031470           1.031470           1.063638            1.063638            1.112222            1.120511            1.257443            1.257443            1.486876            1.517730            1.517730            1.769836            1.777296            1.847416            1.847416            1.905882            1.905882            2.107151            2.153340            2.225529            2.225529            2.520605            2.520605            2.533783            2.542714            2.793609            2.793609            2.865101            2.865101            2.893046            2.893126            2.914998            2.914998            3.285267            3.285267            3.680236            3.680236            3.765858            5.691256
  -0.146939                0.0       4.440892e-16       1.077037e-03           0.894721           0.894721           0.910930           1.030863           1.030863           1.062781            1.062781            1.111640            1.120083            1.257179            1.257179            1.483182            1.514000            1.514000            1.772800            1.780760            1.850957            1.850957            1.909750            1.909750            2.104727            2.152560            2.223737            2.223737            2.515914            2.515914            2.529130            2.539762            2.796574            2.796574            2.868046            2.868046            2.896005            2.896051            2.918759            2.918759            3.280200            3.280200            3.683284            3.683284            3.768861            5.694680
  -0.150000                0.0       1.332268e-15       1.100103e-03           0.891902           0.891902           0.907988           1.030229           1.030229           1.061900            1.061900            1.111017            1.119620            1.256901            1.256901            1.479464            1.510269            1.510269            1.775809            1.784253            1.854531            1.854531            1.913641            1.913641            2.102265            2.151809            2.221911            2.221911            2.511227            2.511227            2.524484            2.536810            2.799534            2.799534            2.871000            2.871000            2.898973            2.898984            2.922524            2.922524            3.275175            3.275175            3.686334            3.686334            3.771800            5.698181
