 Charge Transfer (eV)  delta (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30
            -0.306897   -0.028966           0.513763           0.529504           0.545537           0.561850           0.578430           0.595261           0.612321           0.629588           0.647031            0.664615            0.682295            0.700013            0.717695            0.735245            0.752528            0.769360            0.785478            0.800505            0.813925            0.825081            0.833302            0.838173            0.839777            0.838647            0.835476            0.830881            0.825322            0.819121            0.812493            0.805587
            -0.262069   -0.020690           0.513765           0.529507           0.545541           0.561856           0.578437           0.595270           0.612333           0.629603           0.647050            0.664639            0.682326            0.700053            0.717748            0.735316            0.752625            0.769496            0.785671            0.800789            0.814348            0.825715            0.834235            0.839477            0.841480            0.840727            0.837883            0.833557            0.828216            0.822189            0.815703            0.808911
            -0.217241   -0.012414           0.513764           0.529507           0.545541           0.561856           0.578439           0.595273           0.612337           0.629609           0.647059            0.664652            0.682343            0.700076            0.717780            0.735360            0.752686            0.769581            0.785795            0.800971            0.814622            0.826128            0.834842            0.840329            0.842599            0.842104            0.839487            0.835353            0.830170            0.824273            0.817893            0.811190
            -0.172414   -0.004138           0.513760           0.529503           0.545537           0.561853           0.578436           0.595270           0.612335           0.629608           0.647059            0.664653            0.682346            0.700082            0.717790            0.735375            0.752710            0.769617            0.785850            0.801055            0.814751            0.826325            0.835134            0.840741            0.843143            0.842775            0.840271            0.836234            0.831131            0.825301            0.818976            0.812319
            -0.127586    0.004138           0.513764           0.529507           0.545541           0.561857           0.578440           0.595274           0.612340           0.629613           0.647064            0.664658            0.682352            0.700088            0.717796            0.735382            0.752717            0.769625            0.785857            0.801063            0.814759            0.826333            0.835143            0.840750            0.843153            0.842786            0.840284            0.836247            0.831145            0.825316            0.818992            0.812335
            -0.082759    0.012414           0.513775           0.529518           0.545553           0.561869           0.578452           0.595287           0.612352           0.629624           0.647075            0.664668            0.682360            0.700094            0.717799            0.735379            0.752706            0.769602            0.785816            0.800993            0.814645            0.826153            0.834871            0.840366            0.842648            0.842167            0.839567            0.835449            0.830281            0.824398            0.818031            0.811339
            -0.037931    0.020690           0.513783           0.529526           0.545561           0.561876           0.578459           0.595292           0.612356           0.629627           0.647076            0.664666            0.682353            0.700081            0.717777            0.735345            0.752655            0.769525            0.785700            0.800818            0.814380            0.825754            0.834290            0.839565            0.841618            0.840927            0.838148            0.833887            0.828606            0.822632            0.816192            0.809442
             0.006897    0.028966           0.513788           0.529530           0.545564           0.561879           0.578460           0.595292           0.612353           0.629621           0.647065            0.664650            0.682330            0.700048            0.717731            0.735280            0.752562            0.769392            0.785507            0.800534            0.813957            0.825129            0.833394            0.838350            0.840080            0.839103            0.836090            0.831645            0.826222            0.820138            0.813613            0.806795
             0.051724    0.037241           0.513789           0.529531           0.545563           0.561876           0.578455           0.595284           0.612342           0.629605           0.647043            0.664620            0.682290            0.699995            0.717658            0.735181            0.752425            0.769200            0.785232            0.800133            0.813367            0.824267            0.832174            0.836721            0.838052            0.836732            0.833449            0.828798            0.823220            0.817020            0.810406            0.803519
             0.096552    0.045517           0.513787           0.529527           0.545557           0.561868           0.578444           0.595269           0.612322           0.629579           0.647010            0.664576            0.682233            0.699919            0.717558            0.735046            0.752241            0.768943            0.784867            0.799606            0.812597            0.823152            0.830618            0.834677            0.835548            0.833848            0.830274            0.825409            0.819674            0.813358            0.806658            0.799707
             0.141379    0.053793           0.513781           0.529519           0.545547           0.561854           0.578426           0.595246           0.612293           0.629543           0.646963            0.664517            0.682156            0.699820            0.717427            0.734872            0.752005            0.768617            0.784406            0.798942            0.811633            0.821769            0.828711            0.832213            0.832581            0.830479            0.826608            0.821528            0.815640            0.809214            0.802433            0.795423
             0.186207    0.062069           0.513771           0.529506           0.545531           0.561834           0.578401           0.595215           0.612255           0.629495           0.646903            0.664441            0.682060            0.699695            0.717265            0.734657            0.751714            0.768215            0.783839            0.798128            0.810456            0.820095            0.826437            0.829326            0.829162            0.826651            0.822484            0.817196            0.811161            0.804632            0.797778            0.790714
             0.231034    0.070345           0.513757           0.529489           0.545510           0.561808           0.578370           0.595176           0.612207           0.629435           0.646829            0.664348            0.681942            0.699544            0.717068            0.734396            0.751362            0.767729            0.783155            0.797146            0.809045            0.818109            0.823780            0.826013            0.825303            0.822385            0.817930            0.812444            0.806272            0.799647            0.792726            0.785614
             0.275862    0.078621           0.513739           0.529466           0.545483           0.561776           0.578330           0.595128           0.612148           0.629363           0.646739            0.664236            0.681800            0.699363            0.716833            0.734085            0.750943            0.767151            0.782339            0.795979            0.807375            0.815784            0.820724            0.822273            0.821015            0.817699            0.812970            0.807296            0.800997            0.794285            0.787302            0.780149
             0.320690    0.086897           0.513716           0.529439           0.545450           0.561736           0.578282           0.595071           0.612078           0.629277           0.646633            0.664104            0.681634            0.699150            0.716557            0.733719            0.750448            0.766468            0.781376            0.794602            0.805418            0.813096            0.817254            0.818104            0.816308            0.812610            0.807622            0.801775            0.795358            0.788565            0.781528            0.774337
             0.365517    0.095172           0.513688           0.529406           0.545411           0.561689           0.578226           0.595003           0.611996           0.629176           0.646509            0.663950            0.681439            0.698902            0.716234            0.733292            0.749870            0.765667            0.780246            0.792990            0.803144            0.810020            0.813358            0.813510            0.811192            0.807135            0.801904            0.795895            0.789370            0.782505            0.775419            0.768196
             0.410345    0.103448           0.513655           0.529367           0.545365           0.561634           0.578161           0.594924           0.611900           0.629060           0.646366            0.663772            0.681215            0.698615            0.715860            0.732796            0.749197            0.764734            0.778926            0.791113            0.800522            0.806531            0.809029            0.808495            0.805681            0.801286            0.795831            0.789673            0.783049            0.776118            0.768989            0.761737
             0.455172    0.111724           0.513617           0.529322           0.545311           0.561571           0.578085           0.594833           0.611791           0.628927           0.646202            0.663567            0.680957            0.698284            0.715430            0.732223            0.748416            0.763647            0.777389            0.788937            0.797519            0.802609            0.804261            0.803065            0.799785            0.795077            0.789416            0.783122            0.776408            0.769418            0.762249            0.754972
             0.500000    0.120000           0.513573           0.529271           0.545250           0.561499           0.577999           0.594730           0.611666           0.628774           0.646015            0.663334            0.680662            0.697906            0.714935            0.731561            0.747513            0.762386            0.775606            0.786427            0.794102            0.798237            0.799055            0.797230            0.793516            0.788520            0.782671            0.776253            0.769458            0.762415            0.755212            0.747913
