 Charge Transfer (eV)  Tpp (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30
            -0.351724  0.672414           0.501991           0.517495           0.533296           0.549383           0.565743           0.582362           0.599221           0.616296           0.633560            0.650977            0.668503            0.686083            0.703640            0.721073            0.738239            0.754928            0.770824            0.785441            0.798047            0.807669            0.813395            0.815000            0.813171            0.808963            0.803257            0.796634            0.789454            0.781937            0.774221            0.766396
            -0.306897  0.689655           0.498196           0.513628           0.529359           0.545380           0.561678           0.578240           0.595047           0.612078           0.629307            0.646701            0.664218            0.681808            0.699402            0.716907            0.734196            0.751085            0.767298            0.782412            0.795781            0.806495            0.813557            0.816448            0.815591            0.812003            0.806658            0.800236            0.793159            0.785684            0.777974            0.770130
            -0.262069  0.706897           0.494418           0.509777           0.525438           0.541391           0.557626           0.574128           0.590882           0.607866           0.625057            0.642423            0.659927            0.677520            0.695141            0.712705            0.730098            0.747158            0.763642            0.779184            0.793217            0.804911            0.813251            0.817480            0.817712            0.814851            0.809940            0.803762            0.796814            0.789400            0.781706            0.773852
            -0.217241  0.724138           0.490657           0.505942           0.521531           0.537416           0.553586           0.570027           0.586726           0.603661           0.620811            0.638146            0.655631            0.673221            0.690860            0.708471            0.725951            0.743157            0.759874            0.775784            0.790392            0.802956            0.812488            0.818072            0.819496            0.817477            0.813083            0.807202            0.800414            0.793079            0.785414            0.777557
            -0.172414  0.741379           0.486913           0.502124           0.517641           0.533456           0.549559           0.565939           0.582580           0.599464           0.616570            0.633870            0.651332            0.668914            0.686563            0.704211            0.721763            0.739092            0.756009            0.772235            0.787341            0.800668            0.811292            0.818208            0.820909            0.819849            0.816067            0.810541            0.803951            0.796717            0.789096            0.781246
            -0.127586  0.758621           0.483186           0.498322           0.513766           0.529510           0.545546           0.561862           0.578444           0.595275           0.612335            0.629597            0.647032            0.664601            0.682254            0.699928            0.717540            0.734973            0.752061            0.768560            0.784094            0.798087            0.809694            0.817887            0.821919            0.821933            0.818865            0.813766            0.807416            0.800309            0.792747            0.784915
            -0.082759  0.775862           0.479477           0.494537           0.509907           0.525581           0.541548           0.557799           0.574321           0.591097           0.608107            0.625329            0.642733            0.660283            0.677934            0.695627            0.713286            0.730807            0.748041            0.764773            0.780677            0.795249            0.807730            0.817119            0.822499            0.823693            0.821451            0.816858            0.810798            0.803849            0.796365            0.788561
            -0.037931  0.793103           0.475785           0.490770           0.506065           0.521667           0.537565           0.553750           0.570209           0.586928           0.603888            0.621066            0.638436            0.655963            0.673606            0.691310            0.709007            0.726600            0.743959            0.760892            0.777115            0.792188            0.805438            0.815924            0.822635            0.825092            0.823792            0.819796            0.814084            0.807328            0.799944            0.792183
             0.006897  0.810345           0.472112           0.487020           0.502241           0.517769           0.533596           0.549714           0.566110           0.582771           0.599677            0.616810            0.634142            0.651643            0.669272            0.686981            0.704705            0.722359            0.739823            0.756929            0.773427            0.788933            0.802856            0.814332            0.822323            0.826100            0.825857            0.822558            0.817261            0.810739            0.803479            0.795777
             0.051724  0.827586           0.468457           0.483287           0.498433           0.513887           0.529644           0.545693           0.562025           0.578625           0.595477            0.612561            0.629853            0.647323            0.664935            0.682642            0.700386            0.718088            0.735641            0.752895            0.769630            0.785510            0.800018            0.812378            0.821571            0.826691            0.827609            0.825116            0.820311            0.814071            0.806964            0.799338
             0.096552  0.844828           0.464820           0.479573           0.494642           0.510023           0.525707           0.541687           0.557953           0.574491           0.591287            0.608320            0.625569            0.643005            0.660595            0.678295            0.696051            0.713791            0.731419            0.748800            0.765738            0.781942            0.796958            0.810098            0.820398            0.826849            0.829013            0.827441            0.823216            0.817312            0.810393            0.802863
             0.141379  0.862069           0.461201           0.475877           0.490870           0.506175           0.521787           0.537697           0.553895           0.570370           0.587107            0.604088            0.621292            0.638692            0.656255            0.673943            0.691704            0.709473            0.727163            0.744651            0.761765            0.778248            0.793705            0.807528            0.818831            0.826567            0.830039            0.829500            0.825952            0.820450            0.813756            0.806347
             0.186207  0.879310           0.457602           0.472199           0.487115           0.502345           0.517883           0.533722           0.549852           0.566263           0.582940            0.599867            0.617022            0.634382            0.651916            0.669587            0.687348            0.705138            0.722877            0.740456            0.757722            0.774446            0.790284            0.804703            0.816904            0.825851            0.830660            0.831260            0.828494            0.823467            0.817045            0.809784
             0.231034  0.896552           0.454021           0.468540           0.483378           0.498532           0.513995           0.529762           0.545824           0.562169           0.578785            0.595655            0.612761            0.630079            0.647580            0.665230            0.682984            0.700787            0.718566            0.736222            0.753617            0.770549            0.786718            0.801655            0.814650            0.824719            0.830858            0.832685            0.830813            0.826346            0.820249            0.813168
             0.275862  0.913793           0.450459           0.464899           0.479659           0.494736           0.510125           0.525820           0.541811           0.558090           0.574643            0.591455            0.608509            0.625782            0.643247            0.660872            0.678615            0.696424            0.714234            0.731953            0.749458            0.766571            0.783025            0.798413            0.812106            0.823195            0.830625            0.833745            0.832879            0.829065            0.823354            0.816490
             0.320690  0.931034           0.446916           0.461277           0.475959           0.490959           0.506273           0.521894           0.537814           0.554025           0.570514            0.587267            0.604267            0.621493            0.638919            0.656515            0.674242            0.692052            0.709884            0.727655            0.745254            0.762522            0.779223            0.795002            0.809306            0.821310            0.829964            0.834413            0.834659            0.831600            0.826345            0.819742
             0.365517  0.948276           0.443392           0.457674           0.472277           0.487200           0.502438           0.517984           0.533833           0.549975           0.566399            0.583091            0.600036            0.617212            0.634596            0.652160            0.669867            0.687672            0.705519            0.723332            0.741010            0.758411            0.775327            0.791444            0.806280            0.819097            0.828890            0.834668            0.836119            0.833924            0.829206            0.822913
             0.410345  0.965517           0.439887           0.454089           0.468614           0.483459           0.498620           0.514092           0.529869           0.545941           0.562299            0.578929            0.595815            0.612940            0.630281            0.647809            0.665492            0.683287            0.701142            0.718988            0.736732            0.754247            0.771348            0.787759            0.803058            0.816592            0.827425            0.834501            0.837227            0.836007            0.831915            0.825991
             0.455172  0.982759           0.436401           0.450524           0.464970           0.479737           0.494821           0.510218           0.525921           0.541923           0.558213            0.574779            0.591607            0.608678            0.625972            0.643463            0.661118            0.678898            0.696756            0.714626            0.732424            0.750036            0.767297            0.783963            0.799665            0.813827            0.825597            0.833912            0.837955            0.837817            0.834451            0.828963
             0.500000  1.000000           0.432935           0.446978           0.461345           0.476033           0.491040           0.506361           0.521990           0.537920           0.554142            0.570643            0.587411            0.604427            0.621672            0.639122            0.656746            0.674508            0.692361            0.710248            0.728091            0.745785            0.763184            0.780071            0.796123            0.810834            0.823439            0.832912            0.838283            0.839322            0.836787            0.831811
